docno,recency_score
-3282572668166413291,1751560921.0
3920825553238002246,1620131626.0
-8082260060662565207,1751545675.0
-4791053655373237760,1751468970.0
-5991298041286116266,1751475688.0
5774717794883951308,1751476679.0
601143208150811970,1751483012.0
1929880534109814166,1751533566.0
-6575439572262120391,1751554563.0
-1519112219035628204,1751469321.0
-887504542149707672,1687353821.0
-2619977733896581881,1708616211.0
-6957550348636916080,1708610596.0
2959627301725163781,1681222766.0
691005078893121022,1709635563.0
-4478438909823246716,1738152061.0
9203790486018063913,1707906327.0
-3335614925095622909,1708503461.0
-6429726537036405871,1708761579.0
6872491494080436720,1709203843.0
4515975137261215394,1703761690.0
5474515259036801984,1694789116.0
3611079106988432901,1702904977.0
-3754960977759410954,1704363740.0
-1902453111981621962,1613412753.0
2990422231786121606,1684757176.0
1794818209526868440,1699696371.0
1726172899603010994,1751542085.0
-2181926299588543145,1734079375.0
8449621894413466692,1748088588.0
2632996018640545491,1749758026.0
2639078942429055471,1750275908.0
-5413045267624239687,1750968035.0
4858587680733506169,1751216148.0
-5333010673686873847,1751513360.0
-3745798526223664207,1445520394.0
-5022906338055790328,1702286565.0
6092531698962199975,1702557853.0
-6247443372243895320,1678460588.0
-7021914835832745013,1695975931.0
3489854933048068152,1697464648.0
-286688623464244314,1695570940.0
-1281801386263088195,1749565746.0
-6294488480669613482,1695558946.0
4344044931334231540,1751549681.0
-5858638737464326064,1675760611.0
8189271680498078910,1751382903.0
-9048407114914977497,1751454207.0
-3559876658545660734,1751449150.0
-2823645767606285395,1751196684.0
-7067836702217078334,1700753767.0
8306468910121644403,1749884951.0
1284690753059278826,1732780952.0
4613780157625048554,1696256149.0
-6065357503030715039,1695399275.0
-5354682023304698044,1692889750.0
8566019601226716023,1751490586.0
-1933392982865255100,1751389531.0
-2162497352468549630,1741967930.0
5416309372324094733,1751110000.0
8787724798495367311,1560350102.0
6429215933012051938,1751448413.0
-4193396031658132471,1691166728.0
1667030987930147484,1729760487.0
-3466000078424185664,1693901087.0
6064771966696837096,1688391923.0
214067864931639536,1674055459.0
-5003479162864605457,1678790142.0
-8580841762429331933,1686828565.0
-6952282076078363789,1688383533.0
4742683603682380083,1750876300.0
-486871275427750901,1740081752.0
2123839132269548376,1743695901.0
4782914984093652298,1709736101.0
6119089234462813189,1670246154.0
2372094806203332738,1705355732.0
-394971351000843761,1672923818.0
9009495271265173510,1587271663.0
2675619759688354422,1743573434.0
6741600912825187790,1728495585.0
-8135930279234416163,1745935176.0
4301265259598229035,1736528676.0
-3336303772754781933,1667777651.0
-4290254099490680552,1707839249.0
6795941516600768180,1669397676.0
-7473374436742512707,1709707799.0
-4042469040316206698,1686171218.0
452949690875143657,1704736427.0
6960848097087954019,1703084069.0
-8867041661827504203,1731153507.0
5640951252027892078,1698684649.0
-4440906025674950735,1741669216.0
2326514956508237332,1736258339.0
3334830363817090617,1741955923.0
-3392607045544918036,1684399458.0
-9171669504731343570,1683283615.0
399966849664764487,1701173852.0
4844794252029531869,1671420296.0
5368780287416409999,1736528676.0
-3891236493979921166,1709526397.0
7518096485489452454,1739096255.0
5350650465259575816,1736528676.0
-4911667051724256354,1751540885.0
-6027602694029442567,1751309237.0
-3991212649684250280,1736528676.0
-1004505427346393672,1682085925.0
5781718411531405943,1683283615.0
3863810036345988329,1683283615.0
8007875787307902124,1698676910.0
-3579753711400533357,1699717767.0
3199521813486689566,1700736428.0
-808232534284470949,1675074917.0
5139123342195080661,1709469854.0
-8655209683278126623,1720789224.0
-1574489102437139842,1711170380.0
-2447291850362091934,1728494394.0
1336864147814521065,1698142644.0
-7670853231181218212,1743435698.0
1271378231891208442,1698228724.0
-5960643941637909107,1741272555.0
5757044890919148057,1736279674.0
-1573881150896126058,1729190926.0
5303187211396259452,1751346337.0
6689953436151984544,1751539738.0
2567371594804503978,1751390284.0
-234538391692439113,1751391965.0
5182835418275801945,1751393035.0
3806063562702435927,1751395804.0
-6583979571013823343,1751432713.0
8374076092466767979,1751460801.0
75548094335852109,1751448869.0
-283237934159253115,1743336570.0
-4476627533467136038,1714059947.0
4024607897448187777,1706893343.0
-8459109540675367820,1697038067.0
2922540022388994788,1687947669.0
3846372424924107229,1740509536.0
1484417476245211488,1751440757.0
-6932949226175154908,1751545104.0
1507782505706228039,1748699965.0
6234973314498243570,1741017210.0
874313790854082752,1748878072.0
-3440266799795759199,1751390453.0
-7760597128834226161,1751559222.0
1472419113434130627,1692961716.0
8472207866995371250,1682510836.0
-4479151772140076562,1740415582.0
-4292605369215133917,1740433390.0
